*ो*़*ा*़	UNK
*्**ि**्**े**	UNK
*ं****ा*्*्*ी*	UNK
**ू*ि**ें	NN
*ू*्*ो*ी	UNK
*्*ा*ां*	NN
****ौं*़	UNK
*्**़्*ि*ों	UNK
*ें*ं**ी*	UNK
*े*्*ु*	XC
****ा*ि*े**	JJ
***ु**ा	JJ.NN
*ो*ि***	UNK
*ि*्*े*ा*	UNK.NN.JJ
*ि*्*ा*ा*ी	UNK
*ो*ा*ि*्*	UNK
*ि*ि*ं	UNK
*ु*ा*ं*	NN.NNP
*ै****्*ा	UNK
*ो***ि**	UNK
*ु***ुः*	UNK
**्**ू*्*	UNK.NN.JJ.NNP
*ि*े*ि*	JJ
*ीं**ा*	NN
***़ं*	UNK
*ा*्*ां*ि*	UNK
*्**ं*्**ा**े*ा*ि*ों	UNK
*ृ*़*ा*ू*्**	UNK
*ं*ा*ी****्*ि*ा	UNK
*ं*ो*ी*	UNK
**ु****्*	JJ
**ु*े***	XC.NNP
*ि*्*ा**ि	UNK.NN
*ौं***्*ी	NN
*ु**्*्***्*ि*	JJ
***्*ि*ों	UNK.NN
*ि**्*	XC.UNK.JJ.NN.NNP
*्*ै*्***	UNK
*ं**्***ु*्*	UNK
*ि*्*ो*्*ो*	NN
*ं******्*	UNK
*ो*िं*ा	NN
*ं*े**ा*्***ा	UNK
*्*ी**्*	UNK.NN
*ी*ी*ी****	UNK
**्*ै**	UNK
**ु*ि*्*ों	UNK
*ी**्**ृ	UNK
**ा*ु*ू*ि*ों	NN
*ु*्***ां*	NN
*ॉ*ी*ॉ*	NN
*ा*ौ*ी	XC.UNK
*ी*ि**ि*ं*ा	UNK
*्**ि**्*ि*	JJ
*ौ*़े**	UNK
